Cell_Type,Dataset,Cell_Class,Label,Hodge_2018,Bakken_2019,Class_Level1,Class_Level2
Inh_L5_6_SST_TH,ABI_2019_SMART-Seq_v4_S1,INH,ABI_2019_SMART-Seq_v4_S1_Inh_L5.6_SST_TH,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_TH,Luo_2019_10x_Chromium_V3_BA46,INH,Luo_2019_10x_Chromium_V3_BA46_Inh_L5.6_SST_TH,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_TH,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,INH,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Inh_L5.6_SST_TH,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_TH,ABI_2019_SMART-Seq_v4_V1,INH,ABI_2019_SMART-Seq_v4_V1_Inh_L5.6_SST_TH,GABAergic LHX6,,MGE,SST
Inh_L5_6_VIP_COL4A3,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_VIP_COL4A3,,Vip,CGE,VIP
Inh_L5_6_VIP_COL4A3,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_VIP_COL4A3,,Vip,CGE,VIP
Inh_L5_PVALB_CNTNAP3P2,ABI_2019_SMART-Seq_v4_A1,INH,ABI_2019_SMART-Seq_v4_A1_Inh_L5_PVALB_CNTNAP3P2,,,MGE,PVALB
Inh_L5_PVALB_CNTNAP3P2,ABI_2019_SMART-Seq_v4_S1,INH,ABI_2019_SMART-Seq_v4_S1_Inh_L5_PVALB_CNTNAP3P2,,,MGE,PVALB
Inh_L5_PVALB_CNTNAP3P2,ABI_2019_SMART-Seq_v4_V1,INH,ABI_2019_SMART-Seq_v4_V1_Inh_L5_PVALB_CNTNAP3P2,,,MGE,PVALB
Inh_L5_PVALB_CNTNAP3P2,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,INH,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Inh_L5_PVALB_CNTNAP3P2,,,MGE,PVALB
Inh_L5_PVALB_LRIG3,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5_PVALB_LRIG3,,Pvalb,MGE,PVALB
Inh_L5_PVALB_LRIG3,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5_PVALB_LRIG3,,Pvalb,MGE,PVALB
Inh_L5_SST_RPL35AP11,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5_SST_RPL35AP11,,Sst,MGE,SST
Inh_L5_SST_RPL35AP11,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5_SST_RPL35AP11,,Sst,MGE,SST
Inh_L6_LAMP5_ANKRD20A11P,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,INH,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Inh_L6_LAMP5_ANKRD20A11P,,,CGE,LAMP5/PAX6
Inh_L6_LAMP5_ANKRD20A11P,ABI_2019_SMART-Seq_v4_A1,INH,ABI_2019_SMART-Seq_v4_A1_Inh_L6_LAMP5_ANKRD20A11P,,,CGE,LAMP5/PAX6
Inh_L6_LAMP5_C1QL2,ABI_2019_SMART-Seq_v4_V1,INH,ABI_2019_SMART-Seq_v4_V1_Inh_L6_LAMP5_C1QL2,,,CGE,LAMP5/PAX6
